document,domain,method,context,planned_KL_tokens,planned_NLL_tokens,KL,NLL,late_KL,KL_sum,NLL_sum,status,reason,late_KL_sum,late_tokens,KL_p99,KL_top_one_percent_mean,KL_max,KL_min,quantized_layers,finite_forward_completion,NLL_status,unavailable_native_KL_tokens
r2_technical_prose_logging,technical_prose,R2_DIAG,1024,1008,1007,0.02996031220557198,2.0684906367434213,0.05168327740163465,30.199994703216554,2082.970071200625,COMPLETE_WINDOW,,26.46183802963694,512,0.25647306841433243,0.3772001411839051,0.862584753429756,2.5250325432882736e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_technical_prose_logging,technical_prose,DAMP_R2_PAPER_ADAPTED,1024,1008,1007,0.07138310895199079,2.109193137947767,0.12704221983605316,71.95417382360672,2123.9574899134013,COMPLETE_WINDOW,,65.04561655605922,512,0.6487281455029529,0.8762894104719667,1.1363557608444577,5.328614050331479e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_python_code__type_check_impl,python_code,NATIVE,1024,1008,1007,0.0,1.3609610756950017,0.0,0.0,1370.4878032248666,COMPLETE_WINDOW,,0.0,512,0.0,0.0,0.0,0.0,[],COMPLETE,COMPLETE_WINDOW,0
r2_python_code__type_check_impl,python_code,LEGACY_DIAG,1024,1008,1007,0.00344516272413935,1.3643900483244755,0.003687502578478799,3.4727240259324645,1373.9407786627469,COMPLETE_WINDOW,,1.8880013201811452,512,0.025837659086580967,0.03265353485699097,0.04022400031549992,3.384906900333966e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_python_code__type_check_impl,python_code,R2_MATCHED_ENERGY,1024,1008,1007,0.16622418590569232,1.5084538655670658,0.3008770434013662,167.55397939293786,1519.0130426260353,COMPLETE_WINDOW,,154.04904622149948,512,3.0878693902396748,3.8279962572310775,5.204967049735209,2.4926443590075243e-06,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_python_code__type_check_impl,python_code,R2_DIAG,1024,1008,1007,0.0694645906016517,1.4243774905656552,0.12727137689369322,70.0203073264649,1434.3481329996148,COMPLETE_WINDOW,,65.16294496957093,512,1.1621994865400112,2.488104609448851,4.91439505639425,3.68828211694467e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_python_code__type_check_impl,python_code,DAMP_R2_PAPER_ADAPTED,1024,1008,1007,0.1507710715982023,1.4926758676904046,0.2735804735903098,151.97724017098793,1503.1245987642374,COMPLETE_WINDOW,,140.0732024782386,512,2.9241591679680097,3.9824400469877137,4.985105291765971,5.136675951466666e-06,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_technical_prose_multiprocessing,technical_prose,NATIVE,1024,1008,1007,0.0,1.6954328183993888,0.0,0.0,1707.3008481281845,COMPLETE_WINDOW,,0.0,512,0.0,0.0,0.0,0.0,[],COMPLETE,COMPLETE_WINDOW,0
r2_technical_prose_multiprocessing,technical_prose,LEGACY_DIAG,1024,1008,1007,0.0043149582637461254,1.695942166914978,0.005576199877323708,4.349477929856095,1707.8137620833827,COMPLETE_WINDOW,,2.8550143371897385,512,0.026525900076711226,0.06516559367508093,0.3512055072256254,1.9967614944196978e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
r2_technical_prose_multiprocessing,technical_prose,R2_MATCHED_ENERGY,1024,1008,1007,0.1485240329559909,1.8497762605099963,0.27599262245023404,149.71222521963884,1862.7246943335663,COMPLETE_WINDOW,,141.30822269451983,512,2.6729500181882972,3.672323583436034,6.284835368677322,7.562703479169106e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]",COMPLETE,COMPLETE_WINDOW,0
