experiment_id,profile,candidate,baseline,window,N,status,mean_KL_candidate,mean_KL_baseline,gain,gain_CI95,mean_NLL_difference,NLL_difference_CI95,wins,ties,losses,n_KL,n_NLL,harmful_KL_mass,beneficial_KL_mass
allocation-confirmation,P_PRE,B_DIAG8_P_PRE,B_DAMP8_P_PRE,late512,12,DEFINED,0.001306765688550169,0.001494388021643439,0.12555128278325867,"[0.05452765968567634, 0.1984814210470628]",-0.001438839045536818,"[-0.003033511448426019, -0.0001189672913905196]",11,0,1,6144,6132,2.195751737273639,3.348503351798689
allocation-confirmation,P_PRE,B_DIAG8_P_PRE,B_U8_P_PRE,prefix256,12,DEFINED,0.0009029954882884711,0.0013090577417080387,0.3101943027278107,"[0.2545262227446622, 0.3683254265023913]",0.0012488378003493357,"[-0.0010780328055569324, 0.0039008700666170975]",12,0,0,2880,2880,0.5880701260553338,1.7575294159036885
allocation-confirmation,P_PRE,B_DIAG8_P_PRE,B_U8_P_PRE,prefix512,12,DEFINED,0.0010016869091142287,0.0015273390785894543,0.3441620638428776,"[0.2854409711616766, 0.41023746950485535]",0.00011319716428969557,"[-0.0008109130522804599, 0.0012254929426744796]",12,0,0,5952,5952,1.2007845688885905,4.329466281605134
allocation-confirmation,P_PRE,B_DIAG8_P_PRE,B_U8_P_PRE,primary1024,12,DEFINED,0.0011566475589864524,0.0017555983967886615,0.34116620230333383,"[0.27187725474921, 0.42076673612689025]",-0.0012464790595719513,"[-0.0024544811711661725, -0.0001952068081513239]",12,0,0,12096,12084,3.0745689912680794,10.319478325323598
allocation-confirmation,P_PRE,B_DIAG8_P_PRE,B_U8_P_PRE,late512,12,DEFINED,0.001306765688550169,0.001976724611294143,0.33892375241149963,"[0.2496802241992238, 0.4334363196503852]",-0.002566243065512024,"[-0.004681875004741232, -0.0008333376446648216]",12,0,0,6144,6132,1.8737844223794888,5.9900120437184645
matched-allocation,P_PRE,B_DIAG8_P_PRE,B_MATCHED_ENERGY8_P_PRE,primary1024,11,DEFINED,0.0009149072823701632,0.0010473941117039498,0.12649185999169954,"[0.08989821065725359, 0.1574019633203563]",-0.0007890822722424835,"[-0.0012153239451095901, -0.00032324744085715545]",10,0,1,11088,11077,2.565231011740979,4.034244975394004
matched-allocation,P_PRE,B_DIAG8_P_PRE,B_MATCHED_ENERGY8_P_PRE,late512,11,DEFINED,0.0010157460777264129,0.0011627605573114896,0.12643572974731832,"[0.07593639063699299, 0.17318710740808851]",-0.001401674039627552,"[-0.00214797935344044, -0.0005646420628110792]",9,0,2,5632,5621,1.4586815022407484,2.2866670512639002
matched-allocation,P_PRE,B_MATCHED_ENERGY8_P_PRE,B_DAMP8_P_PRE,primary1024,11,DEFINED,0.0010473941117039498,0.0010363461100240943,-0.010660532782429843,"[-0.04646312639003503, 0.023909904795430207]",0.0004713588127647426,"[1.7491598990772156e-05, 0.000919608095726018]",4,0,7,11088,11077,3.3670248474648936,3.2445246048386553
matched-allocation,P_PRE,B_MATCHED_ENERGY8_P_PRE,B_DAMP8_P_PRE,late512,11,DEFINED,0.0011627605573114896,0.001154507841710461,-0.007148254262874243,"[-0.06350181285822432, 0.040837838498645314]",0.00019750697933320222,"[-0.000596064757291261, 0.0010371651272332702]",6,0,5,5632,5621,1.9134463063993763,1.8669670121343842
matched-allocation,P_PRE,B_DIAG8_P_PRE,B_DAMP8_P_PRE,primary1024,11,DEFINED,0.0009149072823701632,0.0010363461100240943,0.11717979782942178,"[0.08653926519967604, 0.14681099707928635]",-0.00031772345947774064,"[-0.0010838229196938707, 0.0004337819518276926]",11,0,0,11088,11077,2.5729975340981444,3.9195112551249296
matched-allocation,P_PRE,B_DIAG8_P_PRE,B_DAMP8_P_PRE,late512,11,DEFINED,0.0010157460777264129,0.001154507841710461,0.12019127022859,"[0.07572652831253046, 0.15598956077660062]",-0.00120416706029435,"[-0.002405999322456565, 0.00012957542180861388]",10,0,1,5632,5621,1.4482129803841626,2.2297192351423223
matched-allocation,P_PRE,B_MATCHED_ENERGY8_P_PRE,B_U8_P_PRE,primary1024,11,DEFINED,0.0010473941117039498,0.0013264292298149948,0.21036562813830917,"[0.15854149455244482, 0.2587481527452745]",0.000537893404221109,"[-0.00010147345849728268, 0.0011464946453485828]",11,0,0,11088,11077,2.7509679243720173,5.8449093139872845
matched-allocation,P_PRE,B_MATCHED_ENERGY8_P_PRE,B_U8_P_PRE,late512,11,DEFINED,0.0011627605573114896,0.0015186112291940659,0.23432637994612215,"[0.1663968949138165, 0.2963019762556425]",0.00023207339471523146,"[-0.0007061608374183457, 0.0013761226936996056]",10,0,1,5632,5621,1.5207168793357306,3.5248678633783985
matched-allocation,P_PRE,B_DIAG8_P_PRE,B_U8_P_PRE,primary1024,11,DEFINED,0.0009149072823701632,0.0013264292298149948,0.3102479485484718,"[0.28899152929780253, 0.3304121694085203]",-0.0002511888680213745,"[-0.0009289431437571579, 0.0005848633654800938]",11,0,0,11088,11077,2.0690146077574716,6.631969961025763
matched-allocation,P_PRE,B_DIAG8_P_PRE,B_U8_P_PRE,late512,11,DEFINED,0.0010157460777264129,0.0015186112291940659,0.3311348828459051,"[0.2993251963614833, 0.36109683499023837]",-0.0011696006449123206,"[-0.002443845256431044, 0.0004350421825619749]",11,0,0,5632,5621,1.089675662879717,3.9218121959455368
