document,domain,source_family,label,shared_variant_index,KL,NLL,delta_NLL_ref,late_KL,p99_KL,top1pct_KL,max_KL,top1_agreement,negative_KL_roundoff_count
TEST_NEW__code__jmespath__jmespath.py__1,code,jmespath/jmespath.py,s2:DW_POOL_R8,3,0.013057758024849606,0.837997962868172,-0.0002999225949610098,0.011924866709614413,0.08160147143560653,0.11171911036847479,0.1865129096988734,0.9535353535353536,0
TEST_NEW__code__jmespath__jmespath.py__1,code,jmespath/jmespath.py,ALL_LOW,4,0.022900073777010962,0.8440919607034878,0.00579407524035477,0.024471027029240477,0.15876000971584883,0.2669776431969079,0.46498657149722966,0.9474747474747475,0
TEST_NEW__code__jmespath__jmespath.py__1,code,jmespath/jmespath.py,ALL_HIGH,5,0.002973696385865509,0.8363059000358993,-0.0019919854272338095,0.003396772951527713,0.02071579278169478,0.07118317200257837,0.25587907291704154,0.9818181818181818,0
TEST_NEW__code__oauthlib__oauthlib__0,code,oauthlib/oauthlib,s0:DW_OS4x2,0,0.029501449543514417,1.3689471065733272,0.03470926801715485,0.023030745169618783,0.2417745423433598,0.42808239732859865,0.6639896369415359,0.9474747474747475,0
TEST_NEW__code__oauthlib__oauthlib__0,code,oauthlib/oauthlib,s1:DW_POOL_R8,0,0.029501449543514417,1.3689471065733272,0.03470926801715485,0.023030745169618783,0.2417745423433598,0.42808239732859865,0.6639896369415359,0.9474747474747475,0
TEST_NEW__code__oauthlib__oauthlib__0,code,oauthlib/oauthlib,s2:DW_OS4x2,0,0.029501449543514417,1.3689471065733272,0.03470926801715485,0.023030745169618783,0.2417745423433598,0.42808239732859865,0.6639896369415359,0.9474747474747475,0
TEST_NEW__code__oauthlib__oauthlib__0,code,oauthlib/oauthlib,s0:DW_POOL_R8,1,0.03158960252940528,1.3706378873161327,0.03640004875996037,0.01859839630791749,0.23037186334825177,0.7548156052809011,1.8912714001778,0.9373737373737374,0
TEST_NEW__code__oauthlib__oauthlib__0,code,oauthlib/oauthlib,s0:B_OUTDIAG_POOL_R8,2,0.030950774913647845,1.370979589441856,0.03674175088568369,0.022132107145519726,0.30502217448309,0.6273667809202846,1.2305075521497828,0.9454545454545454,0
TEST_NEW__code__oauthlib__oauthlib__0,code,oauthlib/oauthlib,s0:B_OUTDIAG_OS4x2,2,0.030950774913647845,1.370979589441856,0.03674175088568369,0.022132107145519726,0.30502217448309,0.6273667809202846,1.2305075521497828,0.9454545454545454,0
TEST_NEW__code__oauthlib__oauthlib__0,code,oauthlib/oauthlib,s1:DW_OS4x2,2,0.030950774913647845,1.370979589441856,0.03674175088568369,0.022132107145519726,0.30502217448309,0.6273667809202846,1.2305075521497828,0.9454545454545454,0
TEST_NEW__code__oauthlib__oauthlib__0,code,oauthlib/oauthlib,s1:B_OUTDIAG_POOL_R8,2,0.030950774913647845,1.370979589441856,0.03674175088568369,0.022132107145519726,0.30502217448309,0.6273667809202846,1.2305075521497828,0.9454545454545454,0
TEST_NEW__code__oauthlib__oauthlib__0,code,oauthlib/oauthlib,s1:B_OUTDIAG_OS4x2,2,0.030950774913647845,1.370979589441856,0.03674175088568369,0.022132107145519726,0.30502217448309,0.6273667809202846,1.2305075521497828,0.9454545454545454,0
TEST_NEW__code__oauthlib__oauthlib__0,code,oauthlib/oauthlib,s2:B_OUTDIAG_POOL_R8,2,0.030950774913647845,1.370979589441856,0.03674175088568369,0.022132107145519726,0.30502217448309,0.6273667809202846,1.2305075521497828,0.9454545454545454,0
TEST_NEW__code__oauthlib__oauthlib__0,code,oauthlib/oauthlib,s2:B_OUTDIAG_OS4x2,2,0.030950774913647845,1.370979589441856,0.03674175088568369,0.022132107145519726,0.30502217448309,0.6273667809202846,1.2305075521497828,0.9454545454545454,0
TEST_NEW__code__oauthlib__oauthlib__0,code,oauthlib/oauthlib,s2:DW_POOL_R8,3,0.027732130601416247,1.3670380622754679,0.03280022371929557,0.019211310999950843,0.2671564646894829,0.38211832852956185,0.5442751452421155,0.9333333333333333,0
TEST_NEW__code__oauthlib__oauthlib__0,code,oauthlib/oauthlib,ALL_LOW,4,0.03684677594740898,1.3853259589359932,0.05108812037982095,0.027837294444831375,0.2960630251188484,0.44382672075493124,0.5525174440013072,0.9393939393939394,0
TEST_NEW__code__oauthlib__oauthlib__0,code,oauthlib/oauthlib,ALL_HIGH,5,0.004919717407645379,1.3427007123580614,0.008462873801889039,0.003071517304033927,0.024954720915105658,0.15212306581143692,0.6255271196602556,0.9737373737373738,0
TEST_NEW__code__oauthlib__oauthlib__1,code,oauthlib/oauthlib,s0:DW_OS4x2,0,0.023073466578434534,1.6842209524583391,0.03346428117373709,0.02082550443847825,0.13401932134372083,0.16657867020001,0.1927596414998314,0.9171717171717172,0
TEST_NEW__code__oauthlib__oauthlib__1,code,oauthlib/oauthlib,s1:DW_POOL_R8,0,0.023073466578434534,1.6842209524583391,0.03346428117373709,0.02082550443847825,0.13401932134372083,0.16657867020001,0.1927596414998314,0.9171717171717172,0
TEST_NEW__code__oauthlib__oauthlib__1,code,oauthlib/oauthlib,s2:DW_OS4x2,0,0.023073466578434534,1.6842209524583391,0.03346428117373709,0.02082550443847825,0.13401932134372083,0.16657867020001,0.1927596414998314,0.9171717171717172,0
TEST_NEW__code__oauthlib__oauthlib__1,code,oauthlib/oauthlib,s0:DW_POOL_R8,1,0.023576518851433748,1.6811842223113065,0.030427551026704434,0.022888786222618952,0.15152557536077116,0.27917217004717065,0.6365997614366972,0.9373737373737374,0
TEST_NEW__code__oauthlib__oauthlib__1,code,oauthlib/oauthlib,s0:B_OUTDIAG_POOL_R8,2,0.022147094342276526,1.67680243099506,0.026045759710457594,0.020437660902594877,0.13141194778475568,0.15441783575684892,0.17675771207690505,0.9292929292929293,0
TEST_NEW__code__oauthlib__oauthlib__1,code,oauthlib/oauthlib,s0:B_OUTDIAG_OS4x2,2,0.022147094342276526,1.67680243099506,0.026045759710457594,0.020437660902594877,0.13141194778475568,0.15441783575684892,0.17675771207690505,0.9292929292929293,0
TEST_NEW__code__oauthlib__oauthlib__1,code,oauthlib/oauthlib,s1:DW_OS4x2,2,0.022147094342276526,1.67680243099506,0.026045759710457594,0.020437660902594877,0.13141194778475568,0.15441783575684892,0.17675771207690505,0.9292929292929293,0
TEST_NEW__code__oauthlib__oauthlib__1,code,oauthlib/oauthlib,s1:B_OUTDIAG_POOL_R8,2,0.022147094342276526,1.67680243099506,0.026045759710457594,0.020437660902594877,0.13141194778475568,0.15441783575684892,0.17675771207690505,0.9292929292929293,0
TEST_NEW__code__oauthlib__oauthlib__1,code,oauthlib/oauthlib,s1:B_OUTDIAG_OS4x2,2,0.022147094342276526,1.67680243099506,0.026045759710457594,0.020437660902594877,0.13141194778475568,0.15441783575684892,0.17675771207690505,0.9292929292929293,0
TEST_NEW__code__oauthlib__oauthlib__1,code,oauthlib/oauthlib,s2:B_OUTDIAG_POOL_R8,2,0.022147094342276526,1.67680243099506,0.026045759710457594,0.020437660902594877,0.13141194778475568,0.15441783575684892,0.17675771207690505,0.9292929292929293,0
TEST_NEW__code__oauthlib__oauthlib__1,code,oauthlib/oauthlib,s2:B_OUTDIAG_OS4x2,2,0.022147094342276526,1.67680243099506,0.026045759710457594,0.020437660902594877,0.13141194778475568,0.15441783575684892,0.17675771207690505,0.9292929292929293,0
