document,domain,method,context,planned_KL_tokens,planned_NLL_tokens,KL,NLL,late_KL,KL_sum,NLL_sum,status,reason,late_KL_sum,late_tokens,KL_p99,KL_top_one_percent_mean,KL_max,KL_min,quantized_layers
test_code_2,code,NATIVE,512,496,495,0.0,0.8887998775835924,0.0,0.0,439.95593940387823,COMPLETE_WINDOW,,0.0,256,0.0,0.0,0.0,0.0,[]
test_code_2,code,MATCHED_ENERGY,512,496,495,0.000809248683239031,0.8878321555941178,0.0006521441610271158,0.4013873468865594,439.4769170190883,COMPLETE_WINDOW,,0.16694890522294165,256,0.005994708059912869,0.010174433107190278,0.022069999160127488,2.6598866925373407e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]"
test_code_2,code,RTPA_DIAG,512,496,495,0.0006327865651387813,0.8877865661592365,0.0005365125415933024,0.3138621363088355,439.45435024882204,COMPLETE_WINDOW,,0.1373472106478854,256,0.005654509975703459,0.008482944684807408,0.01473197458797295,1.364779154635501e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]"
test_code_2,code,DAMP_PAPER_ADAPTED,512,496,495,0.0009540342370480657,0.8883359886196908,0.0007240972139630431,0.4732009815758406,439.7263143667469,COMPLETE_WINDOW,,0.18536888677453903,256,0.007845714225048933,0.01900229327017038,0.051474664645714284,2.385339880843341e-08,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]"
test_code_2,code,STORED_NEAREST,512,496,495,0.00042966302478116475,0.8896817912126705,0.0003611159162247196,0.2131128602914577,440.3924866502719,COMPLETE_WINDOW,,0.09244567455352821,256,0.002740789526327539,0.0034563380944681544,0.004234145285887198,1.2111903164065466e-08,"[0, 12, 22]"
test_code_2,code,FA_CODE_FACTORIZED,512,496,495,0.0004357229258867377,0.8894535416406872,0.0003622575499794017,0.2161185712398219,440.27950311214016,COMPLETE_WINDOW,,0.09273793279472684,256,0.002027127288786826,0.003072583251514143,0.0052269078735160835,7.20238499783551e-08,"[0, 12, 22]"
test_code_3,code,NATIVE,512,496,495,0.0,0.8742685349856296,0.0,0.0,432.76292481788664,COMPLETE_WINDOW,,0.0,256,0.0,0.0,0.0,0.0,[]
test_code_3,code,MATCHED_ENERGY,512,496,495,0.0010393977718044887,0.8734465693549485,0.0007126646924596711,0.5155412948150264,432.35605183069947,COMPLETE_WINDOW,,0.1824421612696758,256,0.011123100360866115,0.023296888597033705,0.04268150365789115,1.96443642602708e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]"
test_code_3,code,RTPA_DIAG,512,496,495,0.0006710665579624006,0.8727943100824492,0.0005631113664582827,0.3328490127493507,432.03318349081235,COMPLETE_WINDOW,,0.14415650981332037,256,0.005263875319729892,0.006753161511164413,0.008108482956455844,7.731511992825577e-08,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]"
test_code_3,code,DAMP_PAPER_ADAPTED,512,496,495,0.0009691241117441685,0.8737580446630218,0.0007424378337947604,0.4806855594251076,432.5102321081958,COMPLETE_WINDOW,,0.19006408545145867,256,0.010518477865363158,0.019583154328057708,0.036331799981541645,1.916093572376144e-07,"[0, 1, 2, 4, 5, 6, 8, 9, 10, 12, 13, 14, 16, 17, 18, 20, 21, 22]"
test_code_3,code,STORED_NEAREST,512,496,495,0.0004222403356293063,0.8730323123753525,0.0003516466159787785,0.20943120647213592,432.1509946257995,COMPLETE_WINDOW,,0.0900215336905673,256,0.001990025965147647,0.0029789134246952917,0.0038062946837062843,1.6853000912024606e-08,"[0, 12, 22]"
test_code_3,code,FA_CODE_FACTORIZED,512,496,495,0.00045672759292149156,0.8759425833941917,0.0004109029767682717,0.2265368860890598,433.5915787801249,COMPLETE_WINDOW,,0.10519116205267756,256,0.0021764188210179245,0.0031096039510495393,0.004007637957072455,5.409399328917649e-09,"[0, 12, 22]"
