sequence_id,domain,method,window,mean_KL,sum_KL,mean_NLL,delta_NLL_native,max_KL,p95_KL,p99_KL,n_KL,n_NLL,nonfinite
rtpa_v02_natural_language_confirm2,natural_language,B_JOINT8_P_STORE,late,0.0024105239882155115,1.234188281966342,1.1752293564613894,0.0063847577659561505,0.14870354518042694,0.0057968808151666025,0.034148542180362534,512,511,0
rtpa_v02_natural_language_confirm2,natural_language,B_U8_P_PRE,primary,0.002256185355977234,2.274234838825052,1.4693695032785528,0.006551879354169898,0.21579866160813832,0.007030386550836132,0.021608699440116987,1008,1007,0
rtpa_v02_natural_language_confirm2,natural_language,B_U8_P_PRE,early,0.0023905836363779073,1.185729483643442,1.77487360063211,0.00919263821580496,0.21579866160813832,0.006820609478454954,0.017133166957136944,496,496,0
rtpa_v02_natural_language_confirm2,natural_language,B_U8_P_PRE,late,0.002125987021839082,1.08850535518161,1.1728332365713816,0.0039886378759483865,0.04215774692486296,0.007532786051618586,0.024468692304557386,512,511,0
rtpa_v02_natural_language_confirm2,natural_language,B_DAMP8_P_PRE,primary,0.0018822203554902193,1.897278118334141,1.4648953309377521,0.00207770701336929,0.07951906588824005,0.005972858305148768,0.02043645111307991,1008,1007,0
rtpa_v02_natural_language_confirm2,natural_language,B_DAMP8_P_PRE,early,0.0017492933563075506,0.8676495047285451,1.7658413859117243,0.00016042349541933731,0.04835786228769445,0.005100652898736591,0.016833694976834058,496,496,0
rtpa_v02_natural_language_confirm2,natural_language,B_DAMP8_P_PRE,late,0.0020109933859484294,1.0296286136055959,1.1727833088886521,0.003938710193218897,0.07951906588824005,0.006352948579628166,0.032447717246970084,512,511,0
rtpa_v02_natural_language_confirm2,natural_language,B_DIAG8_P_PRE,primary,0.0016854039712118616,1.6988872029815565,1.467360164946244,0.004542541021861135,0.11769449091756895,0.00484012590260293,0.015616996785102177,1008,1007,0
rtpa_v02_natural_language_confirm2,natural_language,B_DIAG8_P_PRE,early,0.001307260177382432,0.6484010479816863,1.76913074930573,0.0034497868894249883,0.024673737071015417,0.004088045747218904,0.008925857102778208,496,496,0
rtpa_v02_natural_language_confirm2,natural_language,B_DIAG8_P_PRE,late,0.0020517307714841217,1.05048615499987,1.1744478169182497,0.005603218222816508,0.11769449091756895,0.0054644638442203795,0.022102219779367112,512,511,0
rtpa_v02_natural_language_confirm2,natural_language,B_JOINT8_P_PRE,primary,0.0017903944470684073,1.8047176026449545,1.463457139777922,0.0006395158535390522,0.17006633664610152,0.005346035229525031,0.01744242066842766,1008,1007,0
rtpa_v02_natural_language_confirm2,natural_language,B_JOINT8_P_PRE,early,0.0014226693327264272,0.705643989032308,1.7662003618211586,0.0005193994048535711,0.031795436450790346,0.004479574164041878,0.012097058831947432,496,496,0
rtpa_v02_natural_language_confirm2,natural_language,B_JOINT8_P_PRE,late,0.0021466281515872,1.0990736136126464,1.1696007050745059,0.0007561063790726408,0.17006633664610152,0.005788575688467676,0.025433613445558178,512,511,0
rtpa_v02_natural_language_confirm3,natural_language,NATIVE_REFERENCE,primary,0.0,0.0,1.8927783446957251,0.0,0.0,0.0,0.0,1008,1007,0
rtpa_v02_natural_language_confirm3,natural_language,NATIVE_REFERENCE,early,0.0,0.0,1.3815621451953424,0.0,0.0,0.0,0.0,496,496,0
rtpa_v02_natural_language_confirm3,natural_language,NATIVE_REFERENCE,late,0.0,0.0,2.388988197831126,0.0,0.0,0.0,0.0,512,511,0
rtpa_v02_natural_language_confirm3,natural_language,B_U8_P_STORE,primary,0.002054316124601645,2.0707506535984583,1.8952988728840645,0.002520528188339366,0.0779301693110544,0.0070309489128625065,0.018228883845660616,1008,1007,0
rtpa_v02_natural_language_confirm3,natural_language,B_U8_P_STORE,early,0.001347393068887511,0.6683069621682055,1.384196491064186,0.0026343458688435906,0.0779301693110544,0.0038715405178166677,0.011088721613261887,496,496,0
rtpa_v02_natural_language_confirm3,natural_language,B_U8_P_STORE,late,0.0027391478348247123,1.4024436914302527,2.3913982493667647,0.0024100515356386687,0.03622654852806977,0.009697111567013446,0.019530614618039323,512,511,0
rtpa_v02_natural_language_confirm3,natural_language,B_DAMP8_P_STORE,primary,0.0016249229478248503,1.6379223314074494,1.8937827219103924,0.0010043772146672847,0.05806117530019272,0.005124373080342838,0.013199615974210845,1008,1007,0
rtpa_v02_natural_language_confirm3,natural_language,B_DAMP8_P_STORE,early,0.001056413975920883,0.5239813320567579,1.382766126881593,0.001203981686250577,0.03477006096799699,0.0029606640777340896,0.007925277294205325,496,496,0
rtpa_v02_natural_language_confirm3,natural_language,B_DAMP8_P_STORE,late,0.0021756660143568193,1.1139409993506915,2.389798829805274,0.0008106319741481016,0.05806117530019272,0.006365529315623187,0.01366262578369083,512,511,0
rtpa_v02_natural_language_confirm3,natural_language,B_DIAG8_P_STORE,primary,0.0014629193527118279,1.4746227075335228,1.891311711258669,-0.0014666334370561085,0.044666331835138295,0.004417911488283877,0.012090875200419259,1008,1007,0
rtpa_v02_natural_language_confirm3,natural_language,B_DIAG8_P_STORE,early,0.0009982064731656227,0.4951104106901489,1.3836356415870554,0.002073496391713059,0.02932615121337025,0.002789772442702908,0.010159442335118457,496,496,0
