sequence_id,domain,method,window,n_KL,n_NLL,mean_KL,sum_KL,mean_NLL,delta_NLL_vs_native,max_token_KL,p95_token_KL,p99_token_KL,min_token_KL,nonfinite
rtpa_v02_natural_language_confirm2,natural_language,ENERGY_TARGET3,late,512,511,0.00710892452661116,3.6397693576249135,1.1719867591650912,0.003142160469657984,0.1892145815623033,0.02663975090125756,0.10109254963244732,1.711540376949975e-07,0
rtpa_v02_natural_language_confirm2,natural_language,DIAG_TARGET3,primary,1008,1007,0.008388535543450055,8.455643827797656,1.464901583152254,0.0020839592278711905,0.581522400928179,0.02597413408306276,0.10532615518013595,3.698034474674808e-08,0
rtpa_v02_natural_language_confirm2,natural_language,DIAG_TARGET3,early,496,496,0.0054793507730701504,2.7177579834427945,1.7644008386673695,-0.001280123748935491,0.09942242976490938,0.019903804899638004,0.04534623591049842,1.1364808672645155e-06,0
rtpa_v02_natural_language_confirm2,natural_language,DIAG_TARGET3,late,512,511,0.011206808289755588,5.737885844354861,1.1741938909105767,0.005349292215143464,0.581522400928179,0.03707397012363229,0.20821640205965672,3.698034474674808e-08,0
rtpa_v02_natural_language_confirm2,natural_language,JOINT_TARGET3,primary,1008,1007,0.006663215708287103,6.7165214339534,1.4608601380409802,-0.00195748588340261,0.36310855415552173,0.021264867213062612,0.08311678370287208,6.025430274198656e-08,0
rtpa_v02_natural_language_confirm2,natural_language,JOINT_TARGET3,early,496,496,0.005974119607233808,2.9631633251879683,1.762156454405596,-0.0035245080107089155,0.24189161937858375,0.020122802057635062,0.056204220016622404,1.254680612835403e-06,0
rtpa_v02_natural_language_confirm2,natural_language,JOINT_TARGET3,late,512,511,0.007330777556182483,3.7533581087654317,1.1684081362467542,-0.0004364624486790092,0.36310855415552173,0.02496494144077712,0.11132119697003048,6.025430274198656e-08,0
rtpa_v02_natural_language_confirm3,natural_language,NATIVE_REFERENCE,primary,1008,1007,0.0,0.0,1.8927783446957251,0.0,0.0,0.0,0.0,0.0,0
rtpa_v02_natural_language_confirm3,natural_language,NATIVE_REFERENCE,early,496,496,0.0,0.0,1.3815621451953424,0.0,0.0,0.0,0.0,0.0,0
rtpa_v02_natural_language_confirm3,natural_language,NATIVE_REFERENCE,late,512,511,0.0,0.0,2.388988197831126,0.0,0.0,0.0,0.0,0.0,0
rtpa_v02_natural_language_confirm3,natural_language,Q8_TARGET3,primary,1008,1007,0.013005837474654941,13.109884174452182,1.9016913056916431,0.008912960995917985,0.37818909883759877,0.05086718125573008,0.12723565641023646,2.1713548857069432e-06,0
rtpa_v02_natural_language_confirm3,natural_language,Q8_TARGET3,early,496,496,0.008088433830867594,4.011863180110326,1.3965399447878881,0.014977799592545749,0.37818909883759877,0.030571875740654682,0.11346914539109726,2.1713548857069432e-06,0
rtpa_v02_natural_language_confirm3,natural_language,Q8_TARGET3,late,512,511,0.017769572254573936,9.098020994341855,2.3920143487606498,0.003026150929523741,0.2885346485531016,0.060014042962152604,0.15425720476348145,1.0393066390392218e-05,0
